Profile 1             Profile 2             Profile 3             Profile 4             Profile 5             Profile 6             
x       y           x       y           x       y           x       y           x       y           x       y           
[]     []         []     []         []     []         []     []         []     []         []     []         
0  305.31404            0  243.59955            0  148.59391            0  137.59681            0  284.99027            0  102.94252            
1.0027232  299.83708            0.99934034  241.41237            1.0078923  179.49024            1.0134907  179.79286            0.99805937  213.80593            1.0021309  140.6862            
2.0054464  237.5961            1.9986807  241.44753            2.0157846  188.64864            2.0269814  166.64354            1.9961187  196.90988            2.0042617  135.78533            
3.0081695  206.06666            2.998021  389.92626            3.0236769  282.77392            3.0404721  160.52073            2.9941781  135.67948            3.0063926  285.41767            
4.0108927  283.69435            3.9973614  534.2194            4.0315693  394.43972            4.0539628  194.98067            3.9922375  124.68456            4.0085235  392.1883            
5.0136159  322.79016            4.9967017  566.97981            5.0394616  418.65305            5.0674535  183.23037            4.9902969  151.5749            5.0106543  544.09285            
6.0163391  454.64184            5.996042  647.54642            6.0473539  520.86209            6.0809442  380.2171            5.9883562  153.99157            6.0127852  626.31677            
7.0190622  566.11173            6.9953824  644.60221            7.0552462  590.25592            7.0944349  455.30635            6.9864156  423.30644            7.014916  653.31544            
8.0217854  659.8101            7.9947227  673.99447            8.0631385  693.34506            8.1079256  649.29238            7.984475  423.25007            8.0170469  685.14269            
9.0245086  739.67425            8.994063  690.45677            9.0710308  680.58557            9.1214163  721.81808            8.9825343  655.49429            9.0191778  665.40865            
10.027232  754.64391            9.9934034  728.47571            10.078923  612.59757            10.134907  774.53658            9.9805937  654.46722            10.021309  643.54441            
11.029955  786.38489            10.992744  725.20992            11.086815  604.32859            11.148398  820.26649            10.978653  551.11041            11.023439  651.26623            
12.032678  743.02727            11.992084  728.2255            12.094708  541.00539            12.161888  692.92859            11.976712  556.88207            12.02557  653.99267            
13.035401  667.6418            12.991424  712.01151            13.1026  562.63367            13.175379  672.29434            12.974772  677.24298            13.027701  687.53277            
14.038124  640.67151            13.990765  595.48618            14.110492  475.27101            14.18887  377.28934            13.972831  680.40135            14.029832  726.97032            
